text,intent
"Sınav zamanı, başlangıç",quiz_start
Futbol maçı hangi saatinde bitti?,other
Software Development Life Cyclede hangi aşamalardır?,topic_ask
Neşeli selamlar,greeting
Sen ne zaman İstanbula gelirsin,other
Sınav zamanı geldi,quiz_start
Her şeyden mutlu,farewell
İyi Dinleyin Lütfen Size,greeting
Bugün hava nasıl geçiyor?,other
Sırkı soruları,quiz_start
How do I implement CI/CD?,topic_ask
Bugünkü haberden bahsetmek istiyorum.,other
Aşkınızı yutmeyin,farewell
"Sevda selamı, sevda selamı",greeting
Yolumuz ayrıldı,farewell
Çarkı felek demeden,farewell
Testime hazırım,quiz_start
Quiz başlatım,quiz_start
"Hoşça kalın, hoş kalın",greeting
API key nasıl oluşturulur?,topic_ask
Hürmetle kaldık,farewell
Agilein ilkeleri hangi amaçla kullanılır?,topic_ask
İstanbulda dolaşmaya ne dersin,other
Pair programming benefitsi nelerdir?,topic_ask
Afiyet Olsun Ol,greeting
Ne kadar güzel,farewell
Continuous integration (CI) nedir ve ne işe yarar?,topic_ask
Çok iyi bayramlar,farewell
What is a Sprint in Scrum?,topic_ask
Hoşça kalın,farewell
Bir şans verin,quiz_start
Sınavı başlatıyorum,quiz_start
Güneşteki ışıkların renkleri nelerdir?,other
Bu akşam ne yapacaksınız?,other
Sokağın temizliği ne durumda?,other
Sürüm kontrolünde hangi metriklerin kullanıldığını belirleyecek misiniz?,topic_ask
Ağustos ayında yağmur var mı?,other
What is the purpose of a Burn-Down Chart in Scrum?,topic_ask
"İyi geceler, iyi pazarlar",farewell
Gördüğünüzde,farewell
Tasarım kalite kontrolesinin yöntemleri nelerdir?,topic_ask
Ağustos ayında yazlıklar var mı?,other
Siz hangi şehirde doğdunuz,other
Kullanıcı deneyimi nedir?,topic_ask
Selimane,farewell
Farewell words,farewell
Kendimi sınava sok,quiz_start
Güzel Günaydın,greeting
Uzun zaman için,farewell
En fazla 500 TL harcayabilirim.,other
Nelerdir ki bir proje başarısız olur?,topic_ask
Quizime girmiyorum,quiz_start
İyi bir gün geçirmiyor,other
Sorumun cevapsız kaldı,other
"Bir dakika, sınava gireriz",quiz_start
Sizi sevgiyle,farewell
Bana bir problem sorun,quiz_start
"Merhaba, güzel günde",greeting
What is JUnit?,topic_ask
İyi Günün Için Hey,greeting
Soruime göre sınava gireriz,quiz_start
"İyi günde, iyi akşamlar",farewell
"Bana bir soru sorun, cevapla",quiz_start
What is a Use Case?,topic_ask
Kahwinin başlangıcı,quiz_start
Quiz tamamlandı,quiz_start
What is a Story in Scrum?,topic_ask
Yakın zamanda hangi film izlediniz,other
İyi ki gelseyin,greeting
Yarın görüşürüz,farewell
Sırımızı çözelim,quiz_start
Son günlerde ne tür müzik dinliyorum?,other
Aşkım olsun,greeting
Kendimi sınama,quiz_start
Testi başlatıyorum,quiz_start
Gelişimize,farewell
Sorum var mı?,quiz_start
Ağabeyimin adın ne,other
Herkese hayırlı olsun,farewell
"Merhaba, iyi bayramlar",greeting
Sınavı başlat,quiz_start
CI/CD pipelineleri arasındaki fark nedir?,topic_ask
Yarın görüşürüz Allahın izniyle,farewell
Agile teamünün rolü nedir?,topic_ask
Yağmur gibi yağarız,farewell
Sizinle İmtihan,greeting
Çevrimiçi kalmayın,farewell
İstanbulun en iyi restoranları hangisi?,other
Benim sınavım,quiz_start
TDDi hangi amaçla kullanırsınız?,topic_ask
Çindeki en iyi restoranları hangileridir?,other
Dostunuzun keyif,greeting
Yaklaşık kaç kilometre mesafe,other
Hangi bölümde okuyorsunuz,other
Sürüm planlamasında hangi risklerin karşılandığına dair bilgi verebilir misiniz?,topic_ask
What is the purpose of a Sprint Review Meeting in Scrum?,topic_ask
Son kez hangi şehirde kaldın?,other
Merhaba türkiye,greeting
Bugün en fazla 2 saat uyudum.,other
Sürümün avantajları nelerdir?,topic_ask
Çözüm yok mu?,quiz_start
Soruların başlayalım,quiz_start
En sevdiğiniz film hangisi?,other
"Testin başlangıcı, başlayalım",quiz_start
"Selamlar, sevgi dolu",greeting
What are Software Requirements?,topic_ask
Örnek soruları başlatma,quiz_start
Ahşap Hoşbulduk,greeting
Namazda selam,greeting
Sokağın ışıkları ne kadar sürede yakılıyordur?,other
En sevdiğiniz yemek hangi dişi?,other
Bu hafta sonu plansın nedir?,other
Scrum frameworki hangi prensiplerine dayanır?,topic_ask
What is a Cloud Computing?,topic_ask
Quizime katilım,quiz_start
"Bir dakika, sorun yok mu?",quiz_start
Hürmetle gidiyor,farewell
Sizi seviyor,farewell
"İyi günde, iyi pazarlar",farewell
"Bir dakika, bir soru sor",quiz_start
Afiyet Olsun Size,greeting
Saat 14te ne yapacaksınız?,other
"Kötü değil, güzel",farewell
Ücretli parklarda araçlar var mı?,other
What is the purpose of a User Story in Scrum?,topic_ask
Yarın tekrar,farewell
En sevdiğin filme ne zaman gidiyorsun?,other
Kotlin ile Javadan fark nedir?,topic_ask
Bana bir quiz sorun,quiz_start
Kendimi sınava sokuyorum,quiz_start
Bir konu üzerinde çalışalım,quiz_start
En sevdiğim yemek ne biliyor musun?,other
Türkiyedeki en ünlü aktör kimdir?,other
"Hoşgeldiniz, çıkış yapın",farewell
Testin başlangıcı,quiz_start
Testimize katılıyorum,quiz_start
Afiyet Olsun,greeting
Gününizi İyi Geçirin,greeting
Bir sorun var,quiz_start
Nelerdir ki bir proje başarılı olur?,topic_ask
Bu akşam hangi konseri izleyecek misiniz?,other
Kanban nedir ve ne işe yarar?,topic_ask
Sınavı bitirdim,quiz_start
Kullanıcı memnuniyetinin artması nasıl edilir?,topic_ask
Java Script dili nedir ve hangi amaçla kullanılır?,topic_ask
Quiz başlamadan önce,quiz_start
Düşmana karşı durursun,farewell
"Günaydın, mutlu ol",greeting
What is an Epic in Scrum?,topic_ask
Sonrasını göreceğiz,farewell
Let me know if you need anything else!,quiz_start
Bir soru sordu mısınız,quiz_start
Sırada ne var?,quiz_start
Kendi halinde kalın,farewell
Kırmızı bir arabaya ihtiyaçımız var.,other
Hoşça kalsın,farewell
Kendimi sınayacak,quiz_start
İstanbulun en büyük parkı nedir?,other
Son derece iyi günde,farewell
Sorularına cevap verme,quiz_start
Yine Görüşürüz Haydi,greeting
Müşteri ihtiyaçlarını belirlemek için hangi metriklerin kullanılır?,topic_ask
Bir sorunun çözümü,quiz_start
Görüşürsen dostum,farewell
Herkesin kendine göre bir müzik var mı?,other
Sizinle Selamlar,greeting
Güzel Günler Hayret,greeting
Kışın son günlerinde yağmur azdır,other
Let me know if you need anything else!,greeting
Here is the list of 50 unique Turkish commands to start a quiz or ask for a question:,quiz_start
Sizin için varım,greeting
What is Full-Stack Development?,topic_ask
Here is the list of 50 different and unique Turkish questions:,topic_ask
Türkiyenin en ünlü restoranı hangisi?,other
"Allahaısmarladık, kardeş",farewell
Hayırlı Gelişler,greeting
Görüşürüz efendim,farewell
Kimlik Doğrulama Protokolünü nedir?,topic_ask
Scrum teamünün rolü nedir?,topic_ask
Sorum var,quiz_start
Kendimi sınavdan geçiriyorum,quiz_start
İyi geceler,farewell
Veri tabanı normalizasyonunu nedir?,topic_ask
API gateway nedir ve ne işe yarar?,topic_ask
Afiyet olsun Allahın selamına,farewell
Hayatını Uzunca Selam,greeting
Here is the list of 50 unique random Turkish sentences:,other
Hoşçakal,farewell
Bazı insanlar hangi dilde konuşur,other
Bana cevap verin,quiz_start
Güzel Hoşgeldiniz,greeting
Bu hafta sonu ne yapacaksın?,other
Here is the list of unique Turkish commands to start a quiz or ask for a question:,quiz_start
Quiz başlatıyorum,quiz_start
Kod kalitesinin artması için hangi yöntemlerin kullanıldığını söyleyecek misiniz?,topic_ask
Quiz zamanı gelindi,quiz_start
Bir soru sor,quiz_start
Kediiniz hangi rengin mi,other
Nazarın hep hayır,farewell
"Evet, iyi akşamlar",farewell
Kalbimizle konuşuruz,farewell
Nelerdir ki Scrumda Product Ownerun rolü önemlidir?,topic_ask
Merhaba,greeting
Sorumu sor,quiz_start
Hoşça Kalın Güzel Hayat,greeting
Haydi gidiyor,farewell
Bu sene hangi konserleri izlediniz,other
Sorularımı sor,quiz_start
"Selamlar, mübārek olsun",greeting
Here is the list of 50 different and unique Turkish farewell phrases:,farewell
Çok hayır,farewell
Hemen ulaşır,farewell
Sorumuzu başlayalım,quiz_start
Huzurunuz olsun,farewell
Soruları çözelim,quiz_start
"Selamlar, mübārek olsun, mübarek olsun",greeting
Sorumun çözümü var,quiz_start
Günaydın Güzel,greeting
Bir hafta sonra hangi konseri göreceksiniz,other
İstanbulda hangi tarihte kuruldu,other
Güzel Günler Selamun,greeting
Kesin soru sor,quiz_start
Kendi testimi yapalım,quiz_start
Çıkış yapçık,farewell
Gecen güne selam,greeting
Test-driven development (TDD) nedir ve ne işe yarar?,topic_ask
En sevdiğim oyun hangisi?,other
Test ediyorum,quiz_start
"Sorunu sorun, cevapsız",quiz_start
Nelerdir ki bir proje başarılı olmaz?,topic_ask
İyi ki var,farewell
Oyunlar için para lazım.,other
İyi dinleriz,farewell
How does Continuous Deployment work in Agile?,topic_ask
Sizinle Buluşmak Selamun,greeting
İyi Dinleyin Lütfen,greeting
İyi ki varsın,farewell
API hangi dilde programlanmalıdır?,topic_ask
Birşey öğrenmek istiyorum,other
What is the difference between a Story and an Issue?,topic_ask
Kırmızı bir maske giyen adam var mı?,other
Sprint Planında ne gibi adımlar alınır?,topic_ask
Kardeşçe Selamlar,greeting
Sizin için bir şey düşünmez,farewell
Nelerdir ki bir proje gelişmez?,topic_ask
Saat 10da ne yedin?,other
Bugünkü maçın sonuçlarını izlemek istiyorum.,other
Kendi kendine sorularına,other
Tatlı bir son,farewell
Merhaba hayat,greeting
Dün gece hangi kitabı okudunuz?,other
Vazgeçemezsiniz,farewell
Mehmet efendi gibi,farewell
Gülümseyin Güzel Gün,greeting
Eğer ki gidersen,farewell
"Sınav başladı, başlayalım",quiz_start
Son günlerde ne tür kitap okuduğunu sormaya çalışıyorum.,other
"Gülmeyin, gülmeyin, iyi gidecek",farewell
Quizime katılın,quiz_start
Çözüm bulmaya çalışalım,other
Scrum takımının sorumlulukları nelerdir?,topic_ask
Gidiyor musun,farewell
What is Automated Testing?,topic_ask
Evet,confirmation
Tabii ki,confirmation
Olur,confirmation
Kesinlikle,confirmation
Tamamdır,confirmation
Kabul ediyorum,confirmation
Baxlayalım,confirmation
Evet lütfen,confirmation
Hayır,rejection
İstemiyorum,rejection
Hayır texekkürler,rejection
Olmaz,rejection
Reddediyorum,rejection
Kalsın,rejection
Gerek yok,rejection
Şimdilik hayır,rejection
bu konuda bir quiz yapmak istiyorum,quiz_start
bu konuda quiz yapalım,quiz_start
quiz yapmak istiyorum,quiz_start
bana bir quiz yap,quiz_start
kendimi denemek istiyorum,quiz_start
konuyu anladım sorulara geçelim,quiz_start
haydi test çözelim,quiz_start
test olmak istiyorum,quiz_start
quiz time,quiz_start
soru çözmek istiyorum,quiz_start
